City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
125,Rio Gallegos,AR,-51.62,-69.22,71.6,37,67,26.4,broken clouds,0.0,0.0
126,La Roche-Sur-Yon,FR,46.67,-1.43,51.8,81,90,9.17,overcast clouds,0.0,0.0
127,Tura,IN,25.52,90.22,66.42,48,78,3.36,broken clouds,0.0,0.0
128,Sabang,ID,5.89,95.32,82.42,76,12,25.26,light rain,0.25,0.0
129,Avarua,CK,-21.21,-159.78,84.2,83,46,6.93,light rain,0.56,0.0
130,Lagoa,PT,39.05,-27.98,59.32,81,0,9.89,clear sky,0.0,0.0
131,Lexington Park,US,38.27,-76.45,44.01,35,1,5.75,clear sky,0.0,0.0
132,San Cristobal,VE,7.77,-72.22,80.6,69,75,3.36,haze,0.0,0.0
133,Kaitangata,NZ,-46.28,169.85,64.0,55,91,11.01,overcast clouds,0.0,0.0
134,Petrokamenskoye,RU,57.72,60.65,19.29,96,48,6.53,scattered clouds,0.0,0.0
135,Cabo San Lucas,MX,22.89,-109.91,81.0,32,40,11.41,scattered clouds,0.0,0.0
136,Half Moon Bay,US,37.46,-122.43,62.01,71,75,13.87,broken clouds,0.0,0.0
137,Chuy,UY,-33.7,-53.46,60.1,86,15,7.0,few clouds,0.0,0.0
138,Samarai,PG,-10.62,150.67,86.97,66,65,5.99,broken clouds,0.0,0.0
139,Sistranda,NO,63.73,8.83,37.4,93,75,27.51,shower sleet,0.0,0.0
140,Burlington,US,39.88,-74.64,45.0,34,1,6.93,clear sky,0.0,0.0
141,Eirunepe,BR,-6.66,-69.87,74.86,97,100,3.38,moderate rain,5.0,0.0
142,Ust-Tsilma,RU,65.44,52.15,33.76,86,100,14.72,overcast clouds,0.0,0.0
143,Hithadhoo,MV,-0.6,73.08,82.53,80,85,14.88,overcast clouds,0.0,0.0
144,Kokoda,PG,-8.88,147.74,76.05,65,100,1.14,overcast clouds,0.0,0.0
145,Saint George,US,37.1,-113.58,48.0,100,90,6.31,moderate rain,0.0,0.0
146,Bonavista,CA,48.65,-53.11,26.01,81,87,11.99,overcast clouds,0.0,0.0
147,Belyy Yar,RU,53.6,91.39,19.4,85,100,2.24,overcast clouds,0.0,0.0
148,Rzhev,RU,56.26,34.33,32.25,96,100,22.77,snow,0.0,2.88
149,Stykkisholmur,IS,65.08,-22.73,24.03,85,100,4.81,overcast clouds,0.0,0.0
150,Touros,BR,-5.2,-35.46,80.6,88,40,4.7,scattered clouds,0.0,0.0
151,Tabou,CI,4.42,-7.35,78.15,95,89,3.71,overcast clouds,0.0,0.0
152,Isangel,VU,-19.55,169.27,84.2,83,75,5.82,broken clouds,0.0,0.0
153,Mokhsogollokh,RU,61.47,128.92,0.1,97,100,1.81,light snow,0.0,0.13
154,Barrow,US,71.29,-156.79,-14.8,83,1,8.05,clear sky,0.0,0.0
155,Mamallapuram,IN,12.63,80.17,80.01,78,40,4.7,mist,0.0,0.0
156,Taitung,TW,22.76,121.14,68.0,77,75,6.93,shower rain,0.0,0.0
157,Clyde River,CA,70.47,-68.59,-29.2,73,1,5.82,clear sky,0.0,0.0
158,Hellin,ES,38.51,-1.7,44.6,65,22,8.05,few clouds,0.0,0.0
159,Poum,NC,-20.23,164.02,80.64,79,1,19.62,clear sky,0.0,0.0
160,Nikolskoye,RU,59.7,30.79,36.0,93,90,20.13,light intensity shower rain,0.0,0.0
161,Kahului,US,20.89,-156.47,77.0,61,75,27.07,broken clouds,0.0,0.0
162,Rubizhne,UA,49.01,38.38,32.99,99,100,2.48,overcast clouds,0.0,0.0
163,Burnie,AU,-41.07,145.92,71.01,70,7,5.99,clear sky,0.0,0.0
164,Salalah,OM,17.02,54.09,71.6,78,40,3.36,scattered clouds,0.0,0.0
165,Saint-Leu,RE,-21.15,55.28,75.2,64,100,5.82,overcast clouds,0.0,0.0
166,Port Elizabeth,ZA,-33.92,25.57,59.0,77,20,5.82,few clouds,0.0,0.0
167,Bisira,PA,8.52,-81.71,65.32,89,100,13.06,overcast clouds,0.0,0.0
168,Constitucion,CL,-35.33,-72.42,53.85,96,6,1.32,clear sky,0.0,0.0
169,Fernandina Beach,US,30.67,-81.46,50.0,76,1,6.93,clear sky,0.0,0.0
170,Soe,ID,-9.86,124.28,81.54,69,84,1.79,broken clouds,0.0,0.0
171,Daru,PG,-9.08,143.21,86.27,66,55,10.65,broken clouds,0.0,0.0
172,Bilma,NE,18.69,12.92,66.96,18,98,12.71,overcast clouds,0.0,0.0
173,Vilhena,BR,-12.74,-60.15,65.89,99,100,3.65,light rain,0.38,0.0
174,Rapid City,US,44.08,-103.23,48.99,24,1,4.7,clear sky,0.0,0.0
175,Richards Bay,ZA,-28.78,32.04,78.01,77,100,36.04,heavy intensity rain,12.19,0.0
176,Tabuk,PH,17.42,121.44,67.3,81,62,1.01,broken clouds,0.0,0.0
177,Morondava,MG,-20.28,44.28,72.93,97,76,3.65,broken clouds,0.0,0.0
178,Diego De Almagro,CL,-26.37,-70.05,65.52,35,0,3.62,clear sky,0.0,0.0
179,Portland,US,45.52,-122.68,55.99,50,75,3.36,broken clouds,0.0,0.0
180,Biltine,TD,14.53,20.92,70.74,12,0,15.77,clear sky,0.0,0.0
181,Raudeberg,NO,61.99,5.14,42.8,71,100,26.4,light rain,0.0,0.0
182,Canto Do Buriti,BR,-8.11,-42.94,75.02,85,85,1.12,light rain,0.94,0.0
183,Butaritari,KI,3.07,172.79,84.13,75,69,7.9,light rain,0.31,0.0
184,Santa Rosa,PH,14.31,121.11,82.0,61,20,5.82,few clouds,0.0,0.0
185,Ahuimanu,US,21.44,-157.84,80.6,73,40,12.75,scattered clouds,0.0,0.0
186,Deep River,CA,46.1,-77.5,32.0,88,1,5.82,clear sky,0.0,0.0
187,Thompson,CA,55.74,-97.86,24.8,58,20,2.24,few clouds,0.0,0.0
188,Salinopolis,BR,-0.61,-47.36,81.46,82,100,11.25,overcast clouds,0.0,0.0
189,Mocuba,MZ,-16.84,36.99,72.73,93,84,2.71,broken clouds,0.0,0.0
190,Copiapo,CL,-27.37,-70.33,64.4,77,0,10.29,clear sky,0.0,0.0
191,Airai,TL,-8.93,125.41,76.55,65,7,1.43,clear sky,0.0,0.0
